agegr,province,gndr,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023
Бүгд,Төв,1,19567,19579,19004,16316,17057,16506,17376,17509,17845,20044,20574,20890,20028,21162,21559,21445,20823,20975,19733,22223,21738,21184,20057,22249,23914,23765,25100,19133,20443,16021,16623,18809
Бүгд,Дорнод,0,16066,14606,13421,14139,11893,12378,9784,9441,9637,9497,9897,9999,9999,10548,10743,10725,11384,12846,14011,15729,13577,15773,16005,16906,17188,17259,18916,18449,18318,16100,14563,19410
Бүгд,Дорнод,1,16704,15987,13206,13615,12155,12026,9899,9727,9456,9851,9548,9947,10072,10207,10901,11553,11598,11478,12198,13184,14071,13273,12673,14755,13869,14229,13273,15079,16284,15743,15700,17570
Бүгд,Сүхбаатар,0,11910,10679,12878,11547,12285,12004,12273,12246,12621,12653,12841,12843,12812,13002,12765,13043,12366,15425,16110,14785,15230,14273,14599,15535,15840,14884,15189,16762,15511,15474,14517,16130
Бүгд,Сүхбаатар,1,8774,8055,11352,10333,10891,10227,10520,10528,10829,11311,11543,12066,12314,11936,12546,12389,11099,13475,14362,13853,14745,12117,13108,14070,14151,14398,14095,13841,13515,13367,11789,14033
Бүгд,Хэнтий,0,16031,14800,15354,15129,14118,12911,12589,12890,12954,13684,13338,14388,13762,14202,14432,14083,14258,11842,11709,15654,15977,17631,17042,18465,17965,18415,17579,17990,18594,19680,18982,17632
Бүгд,Хэнтий,1,15179,13133,13438,12483,12940,11804,11645,11513,12494,12591,12742,13769,12749,12427,13640,13358,13280,11879,11976,13039,16277,15751,15084,16963,14677,13545,15603,16431,14456,17368,17460,16993
Бүгд,Улаанбаатар,0,108287,102772,103271,99183,100805,103362,108929,113125,108881,112679,126752,145842,150270,158289,165088,175736,184392,205602,210726,206062,205502,235181,254887,267248,280210,295860,303544,288873,297386,275671,308221,314436
Бүгд,Улаанбаатар,1,106397,102749,103183,94507,92450,98741,100047,103058,112770,115377,132535,150066,177859,180870,200456,199533,213820,182386,184421,176745,187828,212108,221251,226855,231301,257710,251806,240587,254755,241235,258513,262863
Бүгд,Улаанбаатар,0,108287,102772,103271,99183,100805,103362,108929,113125,108881,112679,126752,145842,150270,158289,165088,175736,184392,205603,210729,206059,205499,235187,254887,267244,280209,295859,303550,,,,308221,314436
Бүгд,Улаанбаатар,1,106397,102749,103183,94507,92450,98741,100047,103058,112770,115377,132535,150066,177859,180870,200456,199533,213820,182389,184420,176751,187816,212106,221151,226862,231300,257718,251797,,,,258513,262863
Бүгд,Хан-Уул,0,,,,,,,,,,,,,,,,,,20024,18909,21672,18440,22633,28678,29874,33247,34487,34241,38533,35369,39775,44852,46769
Бүгд,Хан-Уул,1,,,,,,,,,,,,,,,,,,14681,16561,17598,18208,21840,26478,27124,27997,33059,30681,29409,25871,29008,38585,39861
Бүгд,Багануур Багахангай,0,,,,,,,,,,,,,,,,,,5869,5521,5931,5774,5738,6000,5752,5089,5144,5726,15129,10761,6900,5427,4374
Бүгд,Багануур Багахангай,1,,,,,,,,,,,,,,,,,,6250,5101,5869,5661,5606,5310,5069,4494,4463,4537,11821,14376,8368,4374,3867
Бүгд,Баянзүрх,0,,,,,,,,,,,,,,,,,,42874,52435,48067,49567,59123,57657,65734,73432,85175,80629,71359,80014,74115,76989,88658
Бүгд,Баянзүрх,1,,,,,,,,,,,,,,,,,,38480,45269,41828,44793,51305,47840,50830,59348,74565,67809,62282,67124,65183,68661,75085
Бүгд,Налайх,0,,,,,,,,,,,,,,,,,,7513,6420,6166,5307,6074,6243,8878,8291,7866,8279,,,,6519,7698
Бүгд,Налайх,1,,,,,,,,,,,,,,,,,,4879,5361,4332,4655,4859,5703,8044,7077,6010,7470,,,,4823,6649
Бүгд,Баянгол,0,,,,,,,,,,,,,,,,,,29029,29708,31554,32953,42737,42345,40175,44280,43188,45581,36737,49506,41623,47410,41137
Бүгд,Баянгол,1,,,,,,,,,,,,,,,,,,28839,27684,31985,31820,38863,39054,37612,36517,40670,37042,32911,40450,34700,37847,38482
Бүгд,Сүхбаатар,0,,,,,,,,,,,,,,,,,,25015,26202,26020,25885,23344,27360,26351,25054,27878,27974,27386,26116,27106,26069,32107
