"Статистик үзүүлэлт","Аймаг","Хүйс","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Бүгд","Сүхбаатар","Эрэгтэй","11,910","10,679","12,878","11,547","12,285","12,004","12,273","12,246","12,621","12,653","12,841","12,843","12,812","13,002","12,765","13,043","12,366","15,425","16,110","14,785","15,230","14,273","14,599","15,535","15,840","14,884","15,189","16,762","15,511","15,474","14,517","16,130"
"Бүгд","Сүхбаатар","Эмэгтэй","8,774","8,055","11,352","10,333","10,891","10,227","10,520","10,528","10,829","11,311","11,543","12,066","12,314","11,936","12,546","12,389","11,099","13,475","14,362","13,853","14,745","12,117","13,108","14,070","14,151","14,398","14,095","13,841","13,515","13,367","11,789","14,033"
"Бүгд","Хэнтий","Эрэгтэй","16,031","14,800","15,354","15,129","14,118","12,911","12,589","12,890","12,954","13,684","13,338","14,388","13,762","14,202","14,432","14,083","14,258","11,842","11,709","15,654","15,977","17,631","17,042","18,465","17,965","18,415","17,579","17,990","18,594","19,680","18,982","17,632"
"Бүгд","Хэнтий","Эмэгтэй","15,179","13,133","13,438","12,483","12,940","11,804","11,645","11,513","12,494","12,591","12,742","13,769","12,749","12,427","13,640","13,358","13,280","11,879","11,976","13,039","16,277","15,751","15,084","16,963","14,677","13,545","15,603","16,431","14,456","17,368","17,460","16,993"
"Бүгд","Улаанбаатар","Эрэгтэй","108,287","102,772","103,271","99,183","100,805","103,362","108,929","113,125","108,881","112,679","126,752","145,842","150,270","158,289","165,088","175,736","184,392","205,602","210,726","206,062","205,502","235,181","254,887","267,248","280,210","295,860","303,544","288,873","297,386","275,671","308,221","314,436"
"Бүгд","Улаанбаатар","Эмэгтэй","106,397","102,749","103,183","94,507","92,450","98,741","100,047","103,058","112,770","115,377","132,535","150,066","177,859","180,870","200,456","199,533","213,820","182,386","184,421","176,745","187,828","212,108","221,251","226,855","231,301","257,710","251,806","240,587","254,755","241,235","258,513","262,863"
"Бүгд","Улаанбаатар","Эрэгтэй","108,287","102,772","103,271","99,183","100,805","103,362","108,929","113,125","108,881","112,679","126,752","145,842","150,270","158,289","165,088","175,736","184,392","205,603","210,729","206,059","205,499","235,187","254,887","267,244","280,209","295,859","303,550","","","","308,221","314,436"
"Бүгд","Улаанбаатар","Эмэгтэй","106,397","102,749","103,183","94,507","92,450","98,741","100,047","103,058","112,770","115,377","132,535","150,066","177,859","180,870","200,456","199,533","213,820","182,389","184,420","176,751","187,816","212,106","221,151","226,862","231,300","257,718","251,797","","","","258,513","262,863"
"Бүгд","Хан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","20,024","18,909","21,672","18,440","22,633","28,678","29,874","33,247","34,487","34,241","38,533","35,369","39,775","44,852","46,769"
"Бүгд","Хан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","14,681","16,561","17,598","18,208","21,840","26,478","27,124","27,997","33,059","30,681","29,409","25,871","29,008","38,585","39,861"
"Бүгд","Багануур Багахангай","Эрэгтэй","","","","","","","","","","","","","","","","","","5,869","5,521","5,931","5,774","5,738","6,000","5,752","5,089","5,144","5,726","15,129","10,761","6,900","5,427","4,374"
"Бүгд","Багануур Багахангай","Эмэгтэй","","","","","","","","","","","","","","","","","","6,250","5,101","5,869","5,661","5,606","5,310","5,069","4,494","4,463","4,537","11,821","14,376","8,368","4,374","3,867"
"Бүгд","Баянзүрх","Эрэгтэй","","","","","","","","","","","","","","","","","","42,874","52,435","48,067","49,567","59,123","57,657","65,734","73,432","85,175","80,629","71,359","80,014","74,115","76,989","88,658"
"Бүгд","Баянзүрх","Эмэгтэй","","","","","","","","","","","","","","","","","","38,480","45,269","41,828","44,793","51,305","47,840","50,830","59,348","74,565","67,809","62,282","67,124","65,183","68,661","75,085"
"Бүгд","Налайх","Эрэгтэй","","","","","","","","","","","","","","","","","","7,513","6,420","6,166","5,307","6,074","6,243","8,878","8,291","7,866","8,279","","","","6,519","7,698"
"Бүгд","Налайх","Эмэгтэй","","","","","","","","","","","","","","","","","","4,879","5,361","4,332","4,655","4,859","5,703","8,044","7,077","6,010","7,470","","","","4,823","6,649"
"Бүгд","Баянгол","Эрэгтэй","","","","","","","","","","","","","","","","","","29,029","29,708","31,554","32,953","42,737","42,345","40,175","44,280","43,188","45,581","36,737","49,506","41,623","47,410","41,137"
"Бүгд","Баянгол","Эмэгтэй","","","","","","","","","","","","","","","","","","28,839","27,684","31,985","31,820","38,863","39,054","37,612","36,517","40,670","37,042","32,911","40,450","34,700","37,847","38,482"
"Бүгд","Сүхбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","25,015","26,202","26,020","25,885","23,344","27,360","26,351","25,054","27,878","27,974","27,386","26,116","27,106","26,069","32,107"
"Бүгд","Сүхбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","23,520","23,051","21,962","22,259","23,108","23,485","22,513","19,637","24,049","26,259","23,544","26,628","21,223","24,116","23,730"
"Бүгд","Чингэлтэй","Эрэгтэй","","","","","","","","","","","","","","","","","","23,705","25,817","21,132","27,105","26,300","27,938","27,887","27,244","27,417","30,013","31,507","27,032","27,083","30,625","27,233"
"Бүгд","Чингэлтэй","Эмэгтэй","","","","","","","","","","","","","","","","","","21,862","22,310","17,142","25,668","24,927","23,946","24,314","24,620","24,844","25,496","26,753","27,409","25,819","24,400","20,195"
"Бүгд","Сонгинохайрхан","Эрэгтэй","","","","","","","","","","","","","","","","","","51,573","45,714","45,520","40,471","49,232","58,666","62,597","63,573","64,705","71,101","68,222","68,588","59,070","70,329","66,459"
"Бүгд","Сонгинохайрхан","Эмэгтэй","","","","","","","","","","","","","","","","","","43,875","39,084","36,029","34,764","41,600","49,435","51,349","51,611","50,050","52,512","53,867","52,897","56,934","55,708","54,995"
"15-19","Улсын дүн","Эрэгтэй","","","","","","","","","","","","","","","","","","31,707","25,186","26,261","34,632","18,773","16,416","15,961","13,928","15,348","18,674","17,757","18,411","15,376","13,614","14,763"
