"Статистик үзүүлэлт","Аймаг","Хүйс","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"30-34","Баянхонгор","Эмэгтэй","","","","","","","","","","","","","","","","","","3,055","2,685","2,597","2,981","2,868","2,892","3,903","3,248","3,036","3,087","3,529","3,176","4,035","2,821","5,097"
"30-34","Булган","Эрэгтэй","","","","","","","","","","","","","","","","","","2,008","2,133","1,803","2,541","1,813","1,930","2,102","2,588","2,236","1,737","1,249","1,806","1,789","2,014","1,325"
"30-34","Булган","Эмэгтэй","","","","","","","","","","","","","","","","","","1,592","1,973","1,654","1,939","2,011","1,598","2,336","2,012","1,687","1,517","2,618","1,397","1,718","2,749","1,090"
"30-34","Орхон","Эрэгтэй","","","","","","","","","","","","","","","","","","2,714","2,062","2,350","2,848","3,172","2,430","3,241","4,069","4,468","3,834","2,191","3,477","2,184","3,823","4,617"
"30-34","Орхон","Эмэгтэй","","","","","","","","","","","","","","","","","","3,138","2,122","2,406","2,475","2,653","2,358","2,741","3,132","2,882","2,697","2,515","1,999","2,882","2,612","2,438"
"30-34","Өвөрхангай","Эрэгтэй","","","","","","","","","","","","","","","","","","3,635","4,027","2,513","3,306","4,088","3,281","3,185","4,245","3,938","4,326","3,133","4,301","4,877","4,649","2,126"
"30-34","Өвөрхангай","Эмэгтэй","","","","","","","","","","","","","","","","","","2,622","2,954","2,639","3,616","3,956","2,932","3,186","3,731","3,865","3,885","5,487","3,373","5,420","5,635","2,819"
"30-34","Хөвсгөл","Эрэгтэй","","","","","","","","","","","","","","","","","","3,450","3,888","3,647","3,704","4,676","4,121","4,448","4,499","4,784","5,663","2,617","3,488","6,292","2,614","3,860"
"30-34","Хөвсгөл","Эмэгтэй","","","","","","","","","","","","","","","","","","3,324","3,834","3,216","3,638","4,525","3,718","4,240","3,671","4,705","3,515","3,064","6,090","5,476","3,302","3,084"
"30-34","Говьсүмбэр","Эрэгтэй","","","","","","","","","","","","","","","","","","608","507","335","217","399","501","553","407","777","642","709","380","642","713","382"
"30-34","Говьсүмбэр","Эмэгтэй","","","","","","","","","","","","","","","","","","693","549","338","302","485","433","598","364","420","497","1,068","509","720","245","321"
"30-34","Дархан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","2,853","2,799","3,103","2,562","3,604","2,300","2,815","3,154","3,549","3,648","3,570","3,381","2,605","2,078","2,645"
"30-34","Дархан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","3,116","2,704","2,594","2,296","3,097","2,559","2,468","1,892","3,398","1,981","2,514","2,753","2,618","1,761","2,066"
"30-34","Дорноговь","Эрэгтэй","","","","","","","","","","","","","","","","","","1,774","2,148","1,670","2,483","2,104","3,008","2,096","2,085","2,658","2,917","1,986","2,965","3,292","1,348","2,180"
"30-34","Дорноговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,538","1,852","1,410","1,249","2,002","1,846","1,928","1,480","2,377","2,036","1,221","3,275","1,677","1,220","2,822"
"30-34","Дундговь","Эрэгтэй","","","","","","","","","","","","","","","","","","1,921","1,305","1,790","1,282","1,667","1,379","1,287","1,562","2,060","1,977","666","1,505","1,327","1,295","543"
"30-34","Дундговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,711","1,385","1,914","1,191","1,675","1,391","1,370","1,611","2,091","1,552","1,130","1,544","1,232","1,176","1,115"
"30-34","Өмнөговь","Эрэгтэй","","","","","","","","","","","","","","","","","","867","2,084","1,616","1,327","1,600","2,446","2,495","2,634","2,378","2,704","3,242","3,654","3,213","2,519","3,822"
"30-34","Өмнөговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,391","1,962","2,065","1,502","1,600","2,294","2,134","2,370","1,933","2,731","2,155","2,857","2,020","1,940","2,111"
"30-34","Сэлэнгэ","Эрэгтэй","","","","","","","","","","","","","","","","","","2,705","4,474","3,107","2,928","3,655","2,861","2,749","2,962","2,381","2,833","2,819","1,799","2,424","1,909","620"
"30-34","Сэлэнгэ","Эмэгтэй","","","","","","","","","","","","","","","","","","2,935","2,653","3,774","2,215","2,104","2,409","3,005","3,394","2,478","2,160","3,270","1,851","2,916","1,889","986"
"30-34","Төв","Эрэгтэй","","","","","","","","","","","","","","","","","","3,695","3,101","3,434","4,000","2,826","3,634","3,202","4,022","3,662","3,482","1,193","2,694","3,273","2,795","3,252"
"30-34","Төв","Эмэгтэй","","","","","","","","","","","","","","","","","","2,995","2,778","3,453","2,992","2,121","2,701","2,919","3,084","3,311","2,423","1,893","1,471","1,383","1,895","2,370"
"30-34","Дорнод","Эрэгтэй","","","","","","","","","","","","","","","","","","2,003","1,872","1,914","1,704","2,363","2,557","2,598","2,512","2,649","3,529","2,668","2,535","1,744","2,492","3,713"
"30-34","Дорнод","Эмэгтэй","","","","","","","","","","","","","","","","","","1,122","1,517","1,648","1,903","1,748","2,162","2,101","2,023","2,223","1,980","2,518","1,160","3,357","2,882","2,502"
"30-34","Сүхбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","2,487","1,889","1,821","2,474","2,497","2,272","2,460","2,322","2,506","2,200","2,394","2,845","1,956","2,699","1,603"
"30-34","Сүхбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","2,363","1,699","1,742","2,248","1,751","2,147","2,277","1,771","2,175","1,977","1,577","2,939","2,665","2,106","1,557"
"30-34","Хэнтий","Эрэгтэй","","","","","","","","","","","","","","","","","","1,213","2,139","2,000","1,904","2,367","2,656","2,477","2,085","3,135","2,518","2,832","3,411","2,807","2,575","1,956"
"30-34","Хэнтий","Эмэгтэй","","","","","","","","","","","","","","","","","","1,761","2,241","2,306","2,543","2,597","1,962","2,611","2,260","1,555","2,558","2,551","3,177","2,475","3,258","1,129"
"30-34","Улаанбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","31,738","33,288","33,084","32,385","38,850","39,129","44,641","45,377","50,528","56,124","50,435","54,597","55,192","56,225","56,026"
"30-34","Улаанбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","29,306","28,349","26,021","27,672","29,692","32,641","33,932","36,504","41,666","42,284","38,053","40,623","38,402","40,837","42,841"
"30-34","Улаанбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56,225","56,026"
"30-34","Улаанбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40,837","42,841"
"30-34","Хан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","3,648","2,851","4,375","2,208","4,427","4,749","4,739","4,880","5,264","6,328","7,548","10,152","7,508","7,373","8,489"
"30-34","Хан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","2,317","2,596","3,402","2,739","2,469","3,393","4,551","3,835","4,607","5,375","3,302","4,912","4,425","5,775","6,044"
"30-34","Багануур Багахангай","Эрэгтэй","","","","","","","","","","","","","","","","","","862","738","787","978","730","904","807","789","582","794","1,580","1,269","1,012","578","409"
"30-34","Багануур Багахангай","Эмэгтэй","","","","","","","","","","","","","","","","","","1,341","805","789","653","1,301","817","744","470","817","556","1,889","1,265","1,900","662","360"
"30-34","Баянзүрх","Эрэгтэй","","","","","","","","","","","","","","","","","","6,333","8,706","7,126","8,251","9,415","10,002","12,832","12,472","14,074","15,769","13,378","12,722","15,906","13,936","13,758"
"30-34","Баянзүрх","Эмэгтэй","","","","","","","","","","","","","","","","","","6,425","6,925","5,770","5,892","7,203","6,607","8,457","9,234","12,156","9,451","11,686","11,383","11,799","12,067","11,654"
"30-34","Налайх","Эрэгтэй","","","","","","","","","","","","","","","","","","876","892","1,022","878","1,128","1,054","1,379","1,332","1,043","1,280","","","","1,297","1,369"
"30-34","Налайх","Эмэгтэй","","","","","","","","","","","","","","","","","","721","504","803","1,017","856","1,088","1,074","1,128","756","1,078","","","","565","979"
"30-34","Баянгол","Эрэгтэй","","","","","","","","","","","","","","","","","","4,241","4,877","4,753","6,100","8,170","6,281","7,356","8,890","8,195","8,924","7,270","10,063","9,380","9,767","5,087"
"30-34","Баянгол","Эмэгтэй","","","","","","","","","","","","","","","","","","4,802","4,350","5,071","5,263","5,701","6,478","5,738","6,507","8,585","7,483","6,506","6,037","6,531","6,511","4,535"
"30-34","Сүхбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","4,284","3,460","3,626","3,762","3,691","3,830","4,767","3,270","4,914","4,759","4,585","5,633","3,324","4,925","5,583"
"30-34","Сүхбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","3,990","3,102","2,314","2,669","2,730","2,852","3,421","2,855","3,553","5,353","4,585","2,048","2,301","3,227","3,228"
"30-34","Чингэлтэй","Эрэгтэй","","","","","","","","","","","","","","","","","","3,416","4,262","3,716","3,193","3,928","4,136","5,175","4,331","4,590","4,550","5,786","4,149","4,935","4,897","5,531"
"30-34","Чингэлтэй","Эмэгтэй","","","","","","","","","","","","","","","","","","3,071","3,459","2,610","3,955","3,453","4,235","3,044","2,907","3,568","3,757","3,859","6,162","4,436","3,403","3,184"
"30-34","Сонгинохайрхан","Эрэгтэй","","","","","","","","","","","","","","","","","","8,078","7,502","7,679","7,015","7,361","8,173","7,586","9,413","11,866","13,720","10,288","10,609","13,127","13,452","15,800"
"30-34","Сонгинохайрхан","Эмэгтэй","","","","","","","","","","","","","","","","","","6,639","6,608","5,262","5,484","5,979","7,171","6,903","9,568","7,624","9,231","6,226","8,816","7,009","8,627","12,858"
"35-39","Улсын дүн","Эрэгтэй","","","","","","","","","","","","","","","","","","89,453","88,820","89,275","85,921","92,066","102,558","103,858","103,200","105,165","104,876","102,290","99,296","111,517","111,683","112,231"
"35-39","Улсын дүн","Эмэгтэй","","","","","","","","","","","","","","","","","","89,255","89,535","88,341","88,411","91,051","96,810","97,980","95,570","98,069","95,963","90,909","89,774","98,034","93,100","90,202"
"35-39","Баян-Өлгий","Эрэгтэй","","","","","","","","","","","","","","","","","","3,138","3,976","3,699","3,373","3,564","3,223","3,467","3,213","3,503","4,081","2,567","2,211","2,737","3,554","3,504"
"35-39","Баян-Өлгий","Эмэгтэй","","","","","","","","","","","","","","","","","","3,324","4,080","3,168","4,237","3,775","3,161","2,807","3,936","3,435","3,411","1,328","1,396","3,258","3,231","4,105"
"35-39","Говь-Алтай","Эрэгтэй","","","","","","","","","","","","","","","","","","2,596","3,081","2,107","1,964","1,887","1,761","2,150","2,336","1,728","2,150","2,708","968","2,003","1,557","1,615"
"35-39","Говь-Алтай","Эмэгтэй","","","","","","","","","","","","","","","","","","2,887","2,840","2,464","2,126","2,238","2,001","2,179","2,261","2,021","1,406","2,689","1,171","1,982","2,386","1,566"
"35-39","Завхан","Эрэгтэй","","","","","","","","","","","","","","","","","","3,116","3,131","3,223","2,293","2,819","2,972","2,495","2,856","2,476","3,134","1,822","2,887","2,289","2,202","2,597"
"35-39","Завхан","Эмэгтэй","","","","","","","","","","","","","","","","","","4,139","3,118","3,011","2,395","2,848","3,217","3,159","3,256","3,154","2,603","2,745","3,030","2,462","1,611","2,830"
"35-39","Увс","Эрэгтэй","","","","","","","","","","","","","","","","","","2,918","2,931","2,688","2,249","2,435","2,625","3,084","2,351","3,252","2,940","2,305","2,784","3,594","1,704","2,675"
"35-39","Увс","Эмэгтэй","","","","","","","","","","","","","","","","","","3,347","3,093","3,339","2,212","2,715","2,198","2,774","2,456","3,105","2,771","1,933","1,402","3,235","2,336","1,661"
"35-39","Ховд","Эрэгтэй","","","","","","","","","","","","","","","","","","2,651","2,304","2,293","2,568","2,583","3,150","2,688","2,497","3,116","3,293","1,518","2,279","2,665","1,804","2,777"
"35-39","Ховд","Эмэгтэй","","","","","","","","","","","","","","","","","","3,393","3,252","2,790","3,206","2,830","2,885","2,453","2,267","2,711","3,345","2,051","3,081","2,115","2,615","2,349"
"35-39","Архангай","Эрэгтэй","","","","","","","","","","","","","","","","","","4,473","2,682","3,256","4,134","3,381","3,277","3,202","3,706","3,232","3,348","4,044","3,721","2,467","1,810","2,841"
"35-39","Архангай","Эмэгтэй","","","","","","","","","","","","","","","","","","3,852","2,560","3,290","3,604","4,189","3,433","3,323","2,913","4,077","2,921","4,416","2,803","2,391","2,694","3,446"
"35-39","Баянхонгор","Эрэгтэй","","","","","","","","","","","","","","","","","","2,572","2,756","2,534","2,929","2,792","3,447","2,821","3,464","2,858","3,511","2,002","1,770","3,688","3,958","3,159"
"35-39","Баянхонгор","Эмэгтэй","","","","","","","","","","","","","","","","","","2,376","3,098","2,962","2,652","3,124","3,844","3,141","3,839","2,967","3,353","2,215","2,796","2,469","1,985","2,672"
"35-39","Булган","Эрэгтэй","","","","","","","","","","","","","","","","","","2,009","2,133","2,311","2,188","1,988","2,158","2,214","2,216","2,284","2,164","2,002","1,350","1,830","2,778","2,015"
"35-39","Булган","Эмэгтэй","","","","","","","","","","","","","","","","","","1,739","1,419","2,794","3,524","1,644","2,259","2,220","2,586","1,717","2,348","2,144","1,596","2,261","1,697","1,429"
"35-39","Орхон","Эрэгтэй","","","","","","","","","","","","","","","","","","4,147","3,065","3,445","3,034","2,824","3,118","3,787","2,636","2,897","3,406","2,343","3,187","3,177","4,314","3,558"
"35-39","Орхон","Эмэгтэй","","","","","","","","","","","","","","","","","","4,209","2,480","3,211","2,963","2,842","2,748","4,212","2,791","2,614","2,954","2,367","2,995","2,023","2,895","2,863"
"35-39","Өвөрхангай","Эрэгтэй","","","","","","","","","","","","","","","","","","3,400","3,697","3,770","4,682","4,942","4,294","3,461","3,831","3,926","3,818","4,091","3,313","5,292","4,394","4,241"
"35-39","Өвөрхангай","Эмэгтэй","","","","","","","","","","","","","","","","","","3,414","3,624","3,651","4,279","5,387","5,635","4,591","4,444","3,846","3,811","1,881","5,148","4,536","4,194","3,552"
"35-39","Хөвсгөл","Эрэгтэй","","","","","","","","","","","","","","","","","","3,824","3,674","3,965","4,572","4,644","3,864","4,870","4,899","4,265","4,373","3,624","5,473","2,859","5,749","1,972"
"35-39","Хөвсгөл","Эмэгтэй","","","","","","","","","","","","","","","","","","4,467","4,549","4,024","4,313","4,157","3,715","4,975","4,897","4,740","3,926","6,782","6,039","3,063","5,459","1,926"
"35-39","Говьсүмбэр","Эрэгтэй","","","","","","","","","","","","","","","","","","176","384","434","300","501","553","405","524","426","480","784","515","412","537","224"
"35-39","Говьсүмбэр","Эмэгтэй","","","","","","","","","","","","","","","","","","592","213","385","295","375","516","409","584","687","302","355","687","465","510","379"
"35-39","Дархан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","3,336","3,279","2,643","2,471","3,921","2,720","3,216","2,604","3,782","2,654","3,313","2,796","3,003","3,209","2,960"
"35-39","Дархан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","3,256","3,100","3,121","2,417","2,149","2,942","3,319","2,756","3,012","3,613","3,513","3,195","2,083","2,116","2,540"
"35-39","Дорноговь","Эрэгтэй","","","","","","","","","","","","","","","","","","1,779","2,031","2,417","1,668","2,124","2,345","1,795","2,466","2,373","2,793","3,285","1,996","1,791","3,435","2,949"
"35-39","Дорноговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,777","2,311","1,712","1,583","2,268","1,755","2,160","2,086","3,022","2,454","2,008","2,471","3,334","2,438","2,693"
"35-39","Дундговь","Эрэгтэй","","","","","","","","","","","","","","","","","","1,813","1,713","1,608","1,229","1,663","1,422","1,766","1,650","1,936","1,380","2,045","1,586","2,136","1,206","1,532"
"35-39","Дундговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,518","1,935","1,861","1,460","1,642","2,001","1,732","1,780","1,569","1,805","1,974","1,444","1,912","1,312","1,195"
"35-39","Өмнөговь","Эрэгтэй","","","","","","","","","","","","","","","","","","1,784","2,092","1,879","1,602","2,049","2,281","2,570","2,357","1,868","2,628","2,411","2,252","1,919","3,518","3,300"
"35-39","Өмнөговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,881","2,295","1,656","1,674","2,277","2,129","2,084","2,051","2,413","1,519","1,769","1,545","1,350","2,942","3,551"
"35-39","Сэлэнгэ","Эрэгтэй","","","","","","","","","","","","","","","","","","3,157","3,125","4,043","3,217","3,409","2,880","3,010","4,152","3,618","3,442","3,463","2,675","2,861","2,126","3,059"
"35-39","Сэлэнгэ","Эмэгтэй","","","","","","","","","","","","","","","","","","3,241","3,515","3,106","3,011","3,509","3,024","2,155","3,170","3,554","3,521","1,611","1,528","2,815","2,074","1,306"
"35-39","Төв","Эрэгтэй","","","","","","","","","","","","","","","","","","3,007","3,496","3,020","3,534","3,133","3,142","3,475","3,089","3,589","2,833","1,809","1,440","2,329","2,785","2,541"
"35-39","Төв","Эмэгтэй","","","","","","","","","","","","","","","","","","2,673","3,295","3,763","2,604","3,194","3,453","3,614","3,542","3,472","3,033","2,561","3,785","2,312","2,659","2,791"
"35-39","Дорнод","Эрэгтэй","","","","","","","","","","","","","","","","","","1,505","2,039","2,487","2,281","2,849","2,770","3,087","2,815","2,622","3,366","2,387","3,065","4,360","2,163","3,689"
"35-39","Дорнод","Эмэгтэй","","","","","","","","","","","","","","","","","","1,570","1,517","1,772","2,409","2,061","2,380","2,479","2,530","1,697","1,918","2,639","2,433","2,579","2,639","3,964"
"35-39","Сүхбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","2,452","1,869","2,277","1,955","1,890","2,093","2,523","1,920","2,441","2,546","2,367","2,007","2,674","2,433","2,175"
"35-39","Сүхбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","2,191","2,321","2,370","2,273","2,089","1,677","2,121","2,018","2,713","2,649","1,798","2,040","2,041","1,329","2,272"
"35-39","Хэнтий","Эрэгтэй","","","","","","","","","","","","","","","","","","1,836","1,388","2,052","2,428","2,809","2,355","2,358","3,050","2,313","2,647","2,311","1,809","3,487","3,736","2,745"
"35-39","Хэнтий","Эмэгтэй","","","","","","","","","","","","","","","","","","2,051","1,975","2,961","2,328","2,808","3,033","2,419","2,289","1,902","2,724","1,751","1,415","3,930","2,778","3,024"
"35-39","Улаанбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","33,764","33,974","33,124","31,250","33,859","46,108","45,414","44,568","46,660","43,889","49,089","49,212","53,944","52,712","56,101"
"35-39","Улаанбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","31,358","32,945","30,930","32,846","32,930","38,804","39,654","37,118","39,641","39,576","40,379","37,774","45,416","41,200","38,088"
"35-39","Улаанбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52,712","56,101"
"35-39","Улаанбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41,200","38,088"
"35-39","Хан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","3,860","3,301","5,193","3,364","3,451","4,177","4,727","5,006","5,318","6,269","5,190","4,586","7,336","8,970","7,627"
"35-39","Хан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","2,419","2,771","3,174","3,556","3,934","4,726","4,355","5,063","3,783","5,197","4,560","1,638","5,303","7,250","3,310"
"35-39","Багануур Багахангай","Эрэгтэй","","","","","","","","","","","","","","","","","","1,130","814","525","1,369","698","1,256","881","412","918","939","1,530","1,510","661","994","719"
"35-39","Багануур Багахангай","Эмэгтэй","","","","","","","","","","","","","","","","","","1,579","1,001","957","1,196","626","1,294","685","570","651","608","2,317","2,711","1,075","820","710"
"35-39","Баянзүрх","Эрэгтэй","","","","","","","","","","","","","","","","","","7,869","7,225","6,887","7,960","8,810","11,871","10,773","11,869","11,743","12,964","14,918","18,748","13,532","14,276","13,568"
"35-39","Баянзүрх","Эмэгтэй","","","","","","","","","","","","","","","","","","7,283","7,226","7,916","8,527","7,472","8,393","9,594","9,139","12,126","12,256","10,151","10,546","12,331","11,557","10,890"
"35-39","Налайх","Эрэгтэй","","","","","","","","","","","","","","","","","","437","955","727","955","827","1,083","1,094","1,278","1,011","1,405","","","","998","1,077"
"35-39","Налайх","Эмэгтэй","","","","","","","","","","","","","","","","","","356","995","714","958","737","942","1,094","962","630","1,157","","","","665","1,370"
"35-39","Баянгол","Эрэгтэй","","","","","","","","","","","","","","","","","","5,126","5,954","5,107","5,058","5,594","7,209","7,349","7,372","7,206","6,350","8,802","9,660","9,992","8,851","11,279"
"35-39","Баянгол","Эмэгтэй","","","","","","","","","","","","","","","","","","4,904","6,191","5,438","5,748","5,883","6,608","6,988","6,455","6,124","5,322","7,080","9,459","6,535","6,918","8,514"
"35-39","Сүхбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","3,939","4,126","3,594","3,508","3,085","5,324","4,409","4,661","4,648","3,508","4,833","2,048","4,341","4,755","5,321"
"35-39","Сүхбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","3,944","4,238","3,338","3,369","3,420","4,140","4,342","4,418","3,493","2,252","3,222","1,280","2,685","3,651","2,617"
"35-39","Чингэлтэй","Эрэгтэй","","","","","","","","","","","","","","","","","","3,735","3,838","3,297","3,507","4,271","5,852","4,190","3,993","4,749","4,786","4,887","3,395","3,166","3,486","4,274"
"35-39","Чингэлтэй","Эмэгтэй","","","","","","","","","","","","","","","","","","3,641","3,557","2,801","3,593","3,804","3,984","3,806","3,300","4,160","3,940","4,116","3,772","3,160","3,320","2,934"
"35-39","Сонгинохайрхан","Эрэгтэй","","","","","","","","","","","","","","","","","","7,668","7,761","7,794","5,529","7,123","9,336","11,991","9,977","11,067","7,668","8,929","9,265","14,916","10,381","12,237"
"35-39","Сонгинохайрхан","Эмэгтэй","","","","","","","","","","","","","","","","","","7,232","6,966","6,592","5,899","7,054","8,717","8,790","7,211","8,674","8,844","8,933","8,368","14,328","7,018","7,744"
"40-44","Улсын дүн","Эрэгтэй","","","","","","","","","","","","","","","","","","81,581","82,548","84,700","74,541","87,060","87,996","92,417","96,448","106,932","104,957","98,950","87,814","77,107","94,499","94,643"
"40-44","Улсын дүн","Эмэгтэй","","","","","","","","","","","","","","","","","","86,930","87,017","83,105","77,006","85,615","88,372","91,645","92,700","101,615","102,159","90,931","86,707","84,719","88,064","87,894"
"40-44","Баян-Өлгий","Эрэгтэй","","","","","","","","","","","","","","","","","","3,504","3,666","2,683","2,855","3,949","3,366","3,128","4,009","4,165","4,946","1,708","1,897","3,976","3,739","2,756"
"40-44","Баян-Өлгий","Эмэгтэй","","","","","","","","","","","","","","","","","","2,595","3,500","2,651","2,769","3,440","3,435","3,483","3,639","3,967","4,205","1,509","2,296","3,137","2,698","2,128"
"40-44","Говь-Алтай","Эрэгтэй","","","","","","","","","","","","","","","","","","2,415","2,253","2,763","2,019","1,864","2,025","2,215","2,352","2,208","2,099","1,285","1,820","1,126","2,329","1,313"
"40-44","Говь-Алтай","Эмэгтэй","","","","","","","","","","","","","","","","","","1,608","2,400","2,247","1,994","1,486","1,903","2,076","1,808","2,195","2,509","1,916","2,339","1,500","1,014","1,381"
"40-44","Завхан","Эрэгтэй","","","","","","","","","","","","","","","","","","2,494","2,749","3,021","2,506","2,132","3,120","2,947","2,812","3,499","2,572","2,297","1,931","2,428","2,145","2,895"
"40-44","Завхан","Эмэгтэй","","","","","","","","","","","","","","","","","","2,090","3,072","3,463","2,550","2,267","2,859","2,327","3,083","2,818","2,380","1,903","1,767","3,706","3,934","1,458"
"40-44","Увс","Эрэгтэй","","","","","","","","","","","","","","","","","","4,048","3,243","3,672","2,773","3,070","2,376","3,042","2,925","3,184","2,848","2,504","3,650","3,307","2,373","1,891"
"40-44","Увс","Эмэгтэй","","","","","","","","","","","","","","","","","","5,061","3,396","3,959","3,194","2,868","2,683","2,522","2,974","2,980","2,692","2,173","1,603","4,209","1,934","2,990"
"40-44","Ховд","Эрэгтэй","","","","","","","","","","","","","","","","","","2,435","2,674","3,031","2,565","2,444","2,997","2,967","3,565","3,282","3,036","3,958","1,840","1,853","2,364","2,858"
"40-44","Ховд","Эмэгтэй","","","","","","","","","","","","","","","","","","2,630","2,184","2,892","2,362","1,991","2,619","3,101","3,343","3,135","3,579","3,021","2,886","2,568","2,824","1,307"
"40-44","Архангай","Эрэгтэй","","","","","","","","","","","","","","","","","","2,403","3,742","3,794","2,807","4,039","3,396","3,325","2,965","3,345","2,297","3,667","2,500","2,741","4,074","2,937"
"40-44","Архангай","Эмэгтэй","","","","","","","","","","","","","","","","","","4,099","4,470","4,074","3,067","3,905","3,302","4,367","4,189","3,546","3,272","2,359","3,729","4,438","3,949","2,104"
"40-44","Баянхонгор","Эрэгтэй","","","","","","","","","","","","","","","","","","2,631","3,152","3,082","1,933","2,422","2,668","2,919","3,506","2,354","2,577","2,139","4,251","1,097","2,367","2,656"
"40-44","Баянхонгор","Эмэгтэй","","","","","","","","","","","","","","","","","","2,729","3,314","3,085","2,340","2,297","2,732","3,488","3,203","2,753","3,537","2,523","2,937","2,882","4,171","3,696"
"40-44","Булган","Эрэгтэй","","","","","","","","","","","","","","","","","","2,264","2,125","2,635","2,262","2,439","2,348","2,229","2,480","1,996","2,449","1,671","1,422","1,894","1,462","1,276"
"40-44","Булган","Эмэгтэй","","","","","","","","","","","","","","","","","","2,855","1,684","1,849","1,353","2,114","2,177","2,105","1,966","2,454","2,620","2,335","1,266","2,195","2,028","1,825"
"40-44","Орхон","Эрэгтэй","","","","","","","","","","","","","","","","","","2,982","3,469","2,711","3,131","2,921","3,495","2,841","3,505","2,670","2,805","2,720","2,867","3,295","2,658","2,850"
"40-44","Орхон","Эмэгтэй","","","","","","","","","","","","","","","","","","3,732","3,238","3,660","2,992","3,086","3,523","2,779","3,625","3,104","2,592","2,144","2,369","3,176","3,079","2,514"
"40-44","Өвөрхангай","Эрэгтэй","","","","","","","","","","","","","","","","","","3,923","4,054","3,720","3,878","4,212","4,545","3,907","3,835","3,596","4,610","3,641","2,828","3,325","2,305","1,740"
"40-44","Өвөрхангай","Эмэгтэй","","","","","","","","","","","","","","","","","","4,473","4,110","4,210","4,130","3,829","4,490","3,410","2,665","4,626","4,902","3,320","2,723","2,267","3,070","2,322"
"40-44","Хөвсгөл","Эрэгтэй","","","","","","","","","","","","","","","","","","4,574","4,848","3,985","4,734","3,894","3,749","3,764","4,566","5,355","4,841","7,389","4,143","3,036","4,827","4,642"
"40-44","Хөвсгөл","Эмэгтэй","","","","","","","","","","","","","","","","","","4,573","4,882","4,069","4,564","4,953","4,079","4,348","5,592","3,642","4,672","2,710","2,129","2,445","2,934","4,525"
"40-44","Говьсүмбэр","Эрэгтэй","","","","","","","","","","","","","","","","","","599","252","436","336","519","322","564","606","678","427","545","502","535","380","758"
"40-44","Говьсүмбэр","Эмэгтэй","","","","","","","","","","","","","","","","","","590","505","600","121","399","286","499","685","741","616","545","657","257","173","431"
"40-44","Дархан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","3,702","2,749","2,848","2,078","1,985","2,357","3,342","2,787","3,384","2,113","3,353","3,156","2,477","2,382","1,893"
"40-44","Дархан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","4,107","2,665","2,701","2,594","3,185","3,223","3,632","3,179","3,354","3,075","4,145","2,524","1,987","2,584","1,971"
"40-44","Дорноговь","Эрэгтэй","","","","","","","","","","","","","","","","","","1,552","2,220","1,849","1,561","2,041","2,053","2,164","2,998","2,327","2,587","2,698","2,045","951","1,386","2,763"
"40-44","Дорноговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,552","1,693","1,706","1,874","2,338","2,353","1,966","2,280","2,152","2,478","3,402","1,442","2,166","1,473","2,066"
"40-44","Дундговь","Эрэгтэй","","","","","","","","","","","","","","","","","","1,548","1,355","2,156","1,476","1,418","1,745","1,466","1,357","1,725","1,672","1,763","1,015","1,395","2,084","1,280"
